id,title,phoneNumber,website,email,source,category
7818,"All Seasons Energy Ltd",01909771838,,,"Business Magnet",
7819,"All Tools Ltd","0114 224 3443",,,"Business Magnet",
7820,"Allen Bennett Controls Ltd","0114-244 2424",,,"Business Magnet",
7821,"Allequip (UK)","0114-276 3656",,,"Business Magnet",
7822,Allgrind,"0114 272 2229",,,"Business Magnet",
7823,"Alliance Electronics Ltd","0114 2477 041",,,"Business Magnet",
7824,"Allied Glazing Systems Ltd","0114-243 3595",,,"Business Magnet",
7825,"Alloy Flanges & Fittings","+44 (0) 114 242 3040",,,"Business Magnet",
7826,Allpumps,"0114-244 2203",,,"Business Magnet",
7827,"Alpha Electroplaters Ltd","0114-275 6702",,,"Business Magnet",
7828,"Alphabet Sign Makers Ltd","0114 327 7971",,,"Business Magnet",
7829,"Aluminium Surface Treatments Ltd","0114-255 3055",,,"Business Magnet",
7830,"AME Prototype Solutions","01909 550999",,,"Business Magnet",
7831,AME-3D,01909550999,,,"Business Magnet",
7832,"Amefa (UK) Ltd","0114-244 9507",,,"Business Magnet",
7833,Amvia,01143219950,,,"Business Magnet",
7834,"Analan Supplies Ltd","0114 2697060",,,"Business Magnet",
7835,"Anchor Magnets","+44 (0) 114 244 1171",,,"Business Magnet",
7836,"Anchor Manufacturing LTD","01142 420 444",,,"Business Magnet",
7837,"Ancon Building Products","0114 275 5224",,,"Business Magnet",
7838,"Andrew Russell Associates","0114-255 4044",,,"Business Magnet",
7839,"Anglair Ltd","0114-272 0055",,,"Business Magnet",
7840,"Ansell Handtools (Sheffield) Ltd","0114-244 8098",,,"Business Magnet",
7841,"Anston Electrical Ltd ","07976 841553",,,"Business Magnet",
7842,"ANT Marketing","0114-278 0555",,,"Business Magnet",
7843,"Anything But Cattle","0114 3483 995",,,"Business Magnet",
7844,"Apex Industrial Ltd","0114 254 0011",,,"Business Magnet",
7845,"APP Site Services","01909 519 519",,,"Business Magnet",
7846,"Applied Cytometry Systems Ltd","01909 566982",,,"Business Magnet",
7847,"Approved Safety Products Ltd","0114 2441777",,,"Business Magnet",
7848,"Aqua Padding","0790 9991 851",,,"Business Magnet",
7849,"Aquabord by IPSL","0844 247 9188",,,"Business Magnet",
7850,Aquaculture,"0845-644 5544",,,"Business Magnet",
7851,Aquaflow,"0114 358 6218",,,"Business Magnet",
7852,"Ar Wentworth (Sheffield) Ltd","0114 244 7693",,,"Business Magnet",
7853,"Architectural Improvement LTD",07913999172,,,"Business Magnet",
7854,"ARCO (South Yorkshire)","0114-272 3333",,,"Business Magnet",
7855,"Arden Winch & Co Ltd (Sheffield)","0114 2433755",,,"Business Magnet",
7856,Arise,01144300145,,,"Business Magnet",
7857,"Arm Ltd","0114-282 8000",,,"Business Magnet",
7858,"Armour Gate Ltd ","0114 256 2569",,,"Business Magnet",
7859,Armsec,07484719646,,,"Business Magnet",
7860,"Armsec UK Limited",07445685467,,,"Business Magnet",
7861,"Arnold Laver & Co. Ltd","0114 273 8001",,,"Business Magnet",
7862,"Arnold Laver & Company Limited","0121 552 7788",,,"Business Magnet",
7863,"Arnold Magnetic Technologies Ltd","01909 772 021",,,"Business Magnet",
7864,Arquella,"01623 397 375",,,"Business Magnet",
7865,"Arrow Technical Services Ltd","0114 281 2018",,,"Business Magnet",
7866,"Arthrex Ltd","0114-276 7788",,,"Business Magnet",
7867,"Second Chapter",07854097055,http://www.2chapter.co.uk,jennifer.marsden-lambert@2chapter.co.uk,"SCR Growth Hub",
7868,"3XL Limited","0330 124 4265",http://www.3xl-leadgeneration.co.uk,hello@3xl-leadgeneration.co.uk,"SCR Growth Hub",
7869,"7Legal and Finance","0114 553 9009",http://www.7lf.co.uk,chris@7lf.co.uk,"SCR Growth Hub",
7870,"AAG IT Services","0114 3030 249",http://www.aag-it.com,info@aag-it.com,"SCR Growth Hub",
7871,"Aaron &#038; Partners","01244 457586",https://aaronandpartners.com/,enquiries@aaronandpartners.com,"SCR Growth Hub",
7872,"About-turn Interim Management Ltd","01427 848298",http://www.aboutturninterim.com,info@aboutturninterim.com,"SCR Growth Hub",
7873,"Accounting for Mummies",07790855151,https://www.facebook.com/AccountingforMummies/,Michelle@accountingformummies.co.uk,"SCR Growth Hub",
7874,"ACM Limited","0845 504 6262",http://www.acmcert.com,info@acmcert.com,"SCR Growth Hub",
7875,ActionCOACH,"07505 232073",http://www.actioncoach.com/markperry,markperry@actioncoach.com,"SCR Growth Hub",
7876,"Affinity IT Services Ltd","0114 362 7000",http://www.affinityit.co.uk,info@affinityit.co.uk,"SCR Growth Hub",
7877,"Agile Research Ltd","020 778 7864",http://agileresearch.co.uk,nick@agileresearch.co.uk,"SCR Growth Hub",
7878,"AKR Growth Ventures","07866 325829",https://www.akshayruparelia.com/kickstart-scheme/,sm@akshayruparelia.com,"SCR Growth Hub",
7879,"AKW Global Logistics Ltd","0161 873 2033",https://www.akwgloballogistics.co.uk,enquiries@akw.co.uk,"SCR Growth Hub",
7880,"Allen, West And Foster Limited","0114 268 9950",http://www.westandfoster.co.uk,info@westandfoster.co.uk,"SCR Growth Hub",
7881,"Allen, West &#038; Foster","0114 268 9950",http://www.awfca.co.uk/,info@awfca.co.uk,"SCR Growth Hub",
7882,"Allotts Chartered Accountants","01302 349218",http://www.allotts.co.uk,donc@allotts.co.uk,"SCR Growth Hub",
7883,"Alongside You",07967094238,http://www.alongside-you.co.uk,hello@alongside-you.co.uk,"SCR Growth Hub",
7884,"Altamira Limited (Yorkshire)","0114 460 0071",http://www.altamiraltd.co.uk,info@altamiraltd.co.uk,"SCR Growth Hub",
7885,Amazelab,07754273585,http://www.amazelab.co.uk,info@amazelab.co.uk,"SCR Growth Hub",
7886,"Anderson &#038; Co Financial Services Limited","01909 501110",http://www.andersonfs.co.uk,info@andersonfs.co.uk,"SCR Growth Hub",
7887,"Angela Taylor Management Solutions Ltd",+447739338305,http://www.atmsl.co.uk,angela@atmsl.co.uk,"SCR Growth Hub",
7888,"Arco Ltd",07702690281,http://www.arco.co.uk,steven.summerscales@arco.co.uk,"SCR Growth Hub",
7889,"Arkom Creative Technology","0114 2823444",https://www.arkom.co.uk/,ryan.bates@arkom.co.uk,"SCR Growth Hub",
7890,"Association of Business Mentors (ABM)","01825 701332",https://www.associationofbusinessmentors.org/,enquiries@associationofbusinessmentors.org,"SCR Growth Hub",
7891,"Astrum Business Transformation Ltd.","0845 688 1025",http://www.astrumbt.co.uk,info@astrumbt.co.uk,"SCR Growth Hub",
7892,"Atherton Godfrey Solicitors","01302 320621",http://www.athertongodfrey.co.uk,info@athertongodfrey.co.uk,"SCR Growth Hub",
7893,awesome.,"01226 720805",https://wemakethingsawesome.com/,Dan.Rose@wemakethingsawesome.com,"SCR Growth Hub",
7894,Babington,"0333 323 4050",https://babington.co.uk,ricardo.stewart@babington.co.uk,"SCR Growth Hub",
7895,"Banner Jones Solicitors","0114 275 5266",http://www.bannerjones.co.uk,info@bannerjones.co.uk,"SCR Growth Hub",
7896,"Barnsley Business &#038; Innovation Centre (BBIC)","01226 249590",http://www.barnsleybic.co.uk,hello@barnsleyBIC.co.uk,"SCR Growth Hub",
7897,"Barnsley Metropolitan Borough Council","01226 787787",https://www.barnsley.gov.uk/,online@barnsley.gov.uk,"SCR Growth Hub",
7898,"Barnsley &#038; Rotherham Chamber Of Commerce","01226 491421",http://www.brchamber.co.uk/,hello@brchamber.co.uk,"SCR Growth Hub",
7899,"Bassetlaw District Council","01909 533533",http://www.bassetlaw.gov.uk/,customer.services@bassetlaw.gov.uk,"SCR Growth Hub",
7900,"Baxendale Employee Ownership",07946510054,http://www.baxendaleownership.co.uk,simon.everingham@baxendale.co.uk,"SCR Growth Hub",
7901,"Becky Stevenson &#8211; Business Improvement Consultant","07900 958459",http://www.beckystevenson.co.uk,hello@beckystevenson.co.uk,"SCR Growth Hub",
7902,"Benchmark Recruit","0114 4339 056",https://www.benchmarkrecruit.co.uk/,rebecca@benchmarkrecruit.co.uk,"SCR Growth Hub",
7903,"Beta Technology Limited","01302 322633",http://www.betatechnology.co.uk/,info@betatechnology.co.uk,"SCR Growth Hub",
7904,"Bhayani HR and Employment Law",07309113527,https://bhayanilaw.co.uk/,hello@bhayanilaw.co.uk,"SCR Growth Hub",
7905,"BHP Accountants","0333 123 7171",http://www.bhp.co.uk,info@bhp.co.uk,"SCR Growth Hub",
7906,"Black House Creative","01423 369563",http://www.blackhousecreative.co.uk,info@blackhousecreative.co.uk,"SCR Growth Hub",
7907,"Jerroms Corporate Finance","0121 693 5000",http://www.jerroms.co.uk,sharonadey@jerroms.co.uk,"SCR Growth Hub",
7908,"Blueberry Marketing Solutions","0113 487 7013",http://www.blueberryms.co.uk,info@blueberryms.co.uk,"SCR Growth Hub",
7909,"Bolsover District Council","01246 242424",http://www.bolsover.gov.uk/,,"SCR Growth Hub",
7910,"Bookkeepers Direct","01226 391539",http://www.bookkeepersdirect.co.uk,getintouch@bookkeepersdirect.co.uk,"SCR Growth Hub",
7911,"Brearley and Co. Accountants Limited","01709 474667",http://www.brearleyandco.co.uk,admin@brearleyandco.co.uk,"SCR Growth Hub",
7912,"Bridge Sanderson Munro Solicitors","01709 873321",http://www.bsmlaw.co.uk,info@bsmlaw.co.uk,"SCR Growth Hub",
7913,"British Business Bank","0114 2062131",http://british-business-bank.co.uk/,info@british-business-bank.co.uk,"SCR Growth Hub",
7914,"British Chambers Of Commerce","020 7654 5800",http://www.britishchambers.org.uk/,,"SCR Growth Hub",
7915,"Broadfield Signs Ltd","0114 255 2222",http://www.broadfieldsigns.co.uk,chris@broadfieldsigns.co.uk,"SCR Growth Hub",
7916,"Brook Corporate Developments","01226 240435",http://www.brookconsult.co.uk,enquiries@brookconsult.co.uk,"SCR Growth Hub",
7917,"Brown Mcleod Limited","0114 268 4747",http://www.brownmcleod.co.uk,bmc@brownmcleod.co.uk,"SCR Growth Hub",
7918,BurstingBox,"01226 664111",https://www.burstingbox.com/,info@burstingbox.com,"SCR Growth Hub",
7919,"Business Doncaster","01302 735555",http://www.businessdoncaster.com,info@businessdoncaster.com,"SCR Growth Hub",
7920,"Business Planner UK Ltd","07942 582736",https://www.businessplanneruk.com,businessplanneruk@gmail.com,"SCR Growth Hub",
7921,"Butcher Residential in Barnsley",+447305674307,https://www.butcherez.co.uk/,pennineseo@gmail.com,"SCR Growth Hub",
7922,"Caltech CRM","01924 507280",http://www.caltech.co.uk,,"SCR Growth Hub",
7923,"Cannon PR","01709 321585",http://cannonpr.co.uk,info@cannonpr.co.uk,"SCR Growth Hub",
7924,"Capital Innovation Ltd","0115 922 6781",http://www.capitalinnovation.co.uk/,info@capitalinnovation.co.uk,"SCR Growth Hub",
7925,"Carley Consult Ltd","01302 361630",https://www.carleyconsult.com/,info@carleyconsult.co.uk,"SCR Growth Hub",
7926,CertHub,01246498100,https://certhub.co,Jake@certhub.co,"SCR Growth Hub",
7927,"Chapman &#038; Carter Limited","0800 034 5375",http://www.chapmancarter.co.uk,jcarter@chapmancarter.co.uk,"SCR Growth Hub",
7928,"Chesterfield Borough Council","01246 345345",http://www.chesterfield.gov.uk,enquiries@chesterfield.gov.uk,"SCR Growth Hub",
7929,"Chetu Ltd",01372432466,https://www.chetu.com,marketing@chetu.com,"SCR Growth Hub",
7930,"Chris Edwards Chartered Accountants","01246 570581",http://chris-edwards.co.uk/,info@chris-edwards.co.uk,"SCR Growth Hub",
7931,"cHRysos HR Solutions Ltd","01302 802128",http://www.chrysos.org.uk,info@chrysos.org.uk,"SCR Growth Hub",
7932,Cicerone,"0112 267 0911",http://www.gotocicerone.co.uk,Matt@gotocicerone.co.uk,"SCR Growth Hub",
7933,"CJX Business Services","07889 567682",https://cjxbusinessservices.co.uk,info@cjxbusinessservices.co.uk,"SCR Growth Hub",
7934,"Clear House Accountants","0207 117 2639",https://chacc.co.uk/,clearhouse@chacc.co.uk,"SCR Growth Hub",
7935,"Client Marketing Ltd","0113 208 9849",http://www.clientmarketing.co.uk,info@clientmarketing.co.uk,"SCR Growth Hub",
7936,"Cloudberry Virtual Assistant Services",07870627028,https://cloudberryservices.com,rona.campbell@cloudberryservices.com,"SCR Growth Hub",
7937,"CMF Consultancy Services Ltd","07836 387405",http://www.cmfconsultancy.com,mf@cmfconsultancy.com,"SCR Growth Hub",
7938,coachedbychiara,07813018441,,info@coachedbychiara.co.uk,"SCR Growth Hub",
7939,"Commercial Finance Partnership","03300 156336",http://www.commercialfinancepartnership.co.uk,info@commercialfinancepartnership.co.uk,"SCR Growth Hub",
7940,"Commercial Language Training Ltd","01629 732653",https://www.languagetraining.com/,info@languagetraining.com,"SCR Growth Hub",
7941,"Commercial Property Rotherham","01709 721706",https://www.commercialpropertyrotherham.com/,info@cprotherham.com,"SCR Growth Hub",
7942,"Commstec IT",07730774716,http://www.commstec.com,marc.walker@commstec.com,"SCR Growth Hub",
7943,"Commstec IT LTD",01142992545,http://www.commstec.com,hello@commstec.com,"SCR Growth Hub",
7944,"Compare MY Business Energy","0333 344 3205",https://lumensbusiness.co.uk,info@lumensbusiness.co.uk,"SCR Growth Hub",
7945,"Conformance Limited","01298 873800",http://www.conformance.co.uk,cemark@conformance.co.uk,"SCR Growth Hub",
7946,ContentCal,"07711 049486",http://www.contentcal.io,andy@contentcal.co,"SCR Growth Hub",
7947,"Copywright UK",01246277780,,charlotte@jcsmith.org,"SCR Growth Hub",
7948,"CQ Marketing Academy Ltd","01709 430491",http://www.cqmarketingacademy.com,info@cqmarketingacademy.com,"SCR Growth Hub",
7949,Create.net,"07482 937327",https://www.create.net/,support@create.net,"SCR Growth Hub",
7950,"Critical Activities","0114 3601647",http://www.critical-activities.com,john@critical-activities.com,"SCR Growth Hub",
7951,"Crown Management Systems","0161 6202083",http://www.crownmanagementsystems.co.uk,crown.management@btinternet.com,"SCR Growth Hub",
7952,"Crowood Financial Solutions","01793 200175",https://crowoodfs.co.uk/,richard@crowoodfs.co.uk,"SCR Growth Hub",
7953,"Crozier Jones Chartered Certified Accountants","01302 738382",http://www.crozierjones.co.uk,info@crozierjones.co.uk,"SCR Growth Hub",
7954,"Cubet Ltd","07801 720074",http://www.cubetltd.com,rob@cubetltd.com,"SCR Growth Hub",
7955,"Cureton Consulting","01530 222566",http://www.curetonconsulting.co.uk,karen@curetonconsulting.co.uk,"SCR Growth Hub",
7956,CurrencyWave,"0113 451 0180",http://www.currencywave.com,info@currencywave.com,"SCR Growth Hub",
7957,"Custom Business Finance Ltd","0114 442 8008",http://www.custombusinessfinance.co.uk,hello@custombusinessfinance.co.uk,"SCR Growth Hub",
7958,"Cyber Infrastructure (p) Ltd","020 3318 0351",https://www.cisin.com/,info@cisinlabs.com,"SCR Growth Hub",
7959,"Daltons Business","020 8603 5141",http://www.daltonsbusiness.com,sales@daltonsbusiness.com,"SCR Growth Hub",
7960,DataFox,"0800 035 2510",http://www.data-fox.com,info@data-fox.com,"SCR Growth Hub",
7961,Datatrainer,"07545 612488",http://www.datatrainer.co.uk,tim@datatrainer.co.uk,"SCR Growth Hub",
7962,"Debt Support Service","0800 97 88 495",https://debtsupportservice.co.uk/,debtmanagementuk630@gmail.com,"SCR Growth Hub",
7963,"Decorus for Sage","0114 2307305",https://www.decorus-pms.com/,jodie.deakin@decorus-pms.com,"SCR Growth Hub",
7964,"DeeperThanBlue Ltd","0114 399 2820",https://www.deeperthanblue.co.uk/,info@deeperthanblue.co.uk,"SCR Growth Hub",
7965,"Definition Audio Visual Ltd",07548347594,https://www.definitionaudiovisual.co.uk,mark@definitionaudiovisual.co.uk,"SCR Growth Hub",
7966,"Department for International Trade","020 7215 5000",https://www.gov.uk/government/organisations/department-for-international-trade,enquiries@trade.gsi.gov.uk,"SCR Growth Hub",
7967,"Derbyshire Dales District Council","01629 761100",http://www.derbyshiredales.gov.uk/,enquiries@derbyshiredales.gov.uk,"SCR Growth Hub",
7968,"Derbyshire Law Centre Ltd","0800 7076990",http://www.derbyshirelawcentre.org.uk,clc@chesterfieldlawcentre.org.uk,"SCR Growth Hub",
7969,"Dickinson Parker Hill Solicitors","01695 574201",https://www.dphlaw.co.uk/,info@dphlaw.co.uk,"SCR Growth Hub",
7970,Diversify,"01709 291786",http://www.diversifynow.co.uk,dawn@diversifynow.co.uk,"SCR Growth Hub",
7971,"Doncaster Chamber Of Commerce","01302 640100",http://www.doncaster-chamber.co.uk/,chamber@doncaster-chamber.co.uk,"SCR Growth Hub",
7972,"Doncaster Metropolitan Borough Council","01302 736000",http://www.doncaster.gov.uk,,"SCR Growth Hub",
7973,"DP Accounting Limited","01246 451133",http://www.dpaccounting.co.uk,post@dpaccounting.co.uk,"SCR Growth Hub",
7974,"DP Creative","07860 496397",http://www.dp-creative.co.uk,david@dp-creative.co.uk,"SCR Growth Hub",
7975,"DS Creative","0114 266 9000",https://www.dscreative.co.uk/,info@dscreative.co.uk,"SCR Growth Hub",
7976,"EA Business Support Services Ltd","0115 871 2249",http://www.eabusinesssupport.co.uk,manny@eabusinesssupport.co.uk,"SCR Growth Hub",
7977,"East Midlands Chamber Of Commerce","0333 320 0333",http://www.emc-dnl.co.uk/,info@emc-dnl.co.uk,"SCR Growth Hub",
7978,Ecus,"+44 (0) 114 266 9292",https://www.ecusltd.co.uk/,contactus@ecusltd.co.uk,"SCR Growth Hub",
7979,EduGrowth,"01603 831073",http://www.edugrowth.co.uk,info@edugrowth.co.uk,"SCR Growth Hub",
7980,"EFM Financial Management","07887 558158",https://efm.uk.com/,neil.booth@efm-network.com,"SCR Growth Hub",
7981,"Elcons Employment Law Consultants Ltd","01422 822842",http://www.elcons.co.uk,info@elcons.co.uk,"SCR Growth Hub",
7982,"Elite Centre for Manufacturing Skills (ECMS)","01902 322500",http://theecms.co.uk,enquiries@theecms.co.uk,"SCR Growth Hub",
7983,"Energy Saving Lighting Ltd","01344 883399",http://www.energysavinglighting.org,,"SCR Growth Hub",
7984,Enscite,"0800 0015500",http://www.enscite.co.uk,info@enscite.co.uk,"SCR Growth Hub",
7985,"Enterprise Nation","020 3871 2922",http://enterprisenation.com,hello@enterprisenation.com,"SCR Growth Hub",
7986,"Enterprising Barnsley","01226 787535",https://www.enterprisingbarnsley.co.uk/,investment@barnsley.gov.uk,"SCR Growth Hub",
7987,"eStore Factory &#8211; Amazon Consulting Agency",07496252694,https://www.estorefactory.co.uk/,amazonglobalsellings@gmail.com,"SCR Growth Hub",
7988,etiCloud,"0333 358 2222",http://www.everythingthatis.cloud,info@everythingthatis.cloud,"SCR Growth Hub",
7989,"European Technology Risks","0800 7999084",https://etrisks.com/,alex@etrisks.com,"SCR Growth Hub",
7990,"Everyday People","07896 840397",https://everydaypeoplesourcing.co.uk/,hello@everydaypeoplesourcing.co.uk,"SCR Growth Hub",
7991,"Evolution AI","07547 686788",https://invoices.evolution.ai/automation/,sadaf@evolution.ai,"SCR Growth Hub",
7992,"Exceed Excellence","01709 680188",http://www.exceedexcellence.co.uk,admin@exceedexcellence.co.uk,"SCR Growth Hub",
7993,Excellect,"07398 838074",https://www.excellect.co.uk/,ann@excellect.co.uk,"SCR Growth Hub",
7994,ExciteBrand,01133281059,https://excitebrand.com/,enquiries@excitebrand.com,"SCR Growth Hub",
7995,"Fair Train",07539950663,http://www.fairtrain.org,ann.shackleton@fairtrain.org,"SCR Growth Hub",
7996,"Fastest Hosting",,https://www.fastest-hosting.co.uk,,"SCR Growth Hub",
7997,"FCS Associates Limited","0114 324 1314",http://www.fcsassociates.co.uk,rachel@fcsassociates.co.uk,"SCR Growth Hub",
7998,"Fly Digital",07817897037,https://www.flydigital.co.uk/?utm_source=sheff-direc&#038;utm_medium=sheff-direc&#038;utm_campaign=sheff-direc,andrew@flydigital.co.uk,"SCR Growth Hub",
7999,"FML (Excel + Consultants)",07748118880,https://www.fml-excelconsultants.com,francis@fml-excelconsultants.com,"SCR Growth Hub",
8000,"FONEZ WORLD",01142332261,https://fonezworld.business.site/,FONEZWORLD1@GMAIL.COM,"SCR Growth Hub",
8001,"Footprints Accountancy Ltd","0114 248 8764",http://www.footprintsaccountancy.com,hello@footprintsaccountancy.com,"SCR Growth Hub",
8002,"Forrest Williams","01623 397200",https://forrestwilliamssolicitors.com,info@forrestwilliamslegal.co.uk,"SCR Growth Hub",
8003,"Fortay Media","0114 276 0632",http://www.fortaymedia.co.uk,info@fortaymedia.co.uk,"SCR Growth Hub",
8004,"Foys Solicitors","0114 251 1702",http://www.foys.co.uk,info@foys.co.uk,"SCR Growth Hub",
8005,"Franks &#038; Co Limited","0114 249 9888",http://www.franksco.com,franksco@franksco.com,"SCR Growth Hub",
8006,"Freeths LLP","0789 002 9630",https://www.freeths.co.uk/,peter.crawford@freeths.co.uk,"SCR Growth Hub",
8007,"Fresh Thinking","01302 515552",http://www.fresh-thinking.uk,john@fresh-thinking.uk,"SCR Growth Hub",
8008,Fuelmywebsite,,http://www.fuelmywebsite.com,help@fuelmywebsite.com,"SCR Growth Hub",
8009,"Gadlang Management Consultants","07397 686954",http://www.gadlang.com,advisor@gadlang.com,"SCR Growth Hub",
8010,"GBAC Limited","01226 298298",http://www.gbac.co.uk,info@gbac.co.uk,"SCR Growth Hub",
8011,"German Advantage Ltd","07939 883735",http://www.germanadvantage.co.uk,germanadvantage@outlook.com,"SCR Growth Hub",
8012,"Gibson Booth Limited","01226 213131",http://www.gibsonbooth.co.uk,info@gibsonbooth.co.uk,"SCR Growth Hub",
8013,"Glade Consulting Services Ltd","0114 398 4123",http://www.gladecs.co.uk,enquiries@gladecs.co.uk,"SCR Growth Hub",
8014,"Glaisyers Solicitors LLP","0161 452 1310",http://www.glaisyers.com/conveyancing-solicitors-manchester/,enquiries@glaisyers.com,"SCR Growth Hub",
8015,"Glu Recruit","0114 321 1873",http://www.glurecruit.co.uk,hello@glurecruit.co.uk,"SCR Growth Hub",
8016,"GNR Personal Development","01302 499939",https://www.gnrpersonaldevelopment.co.uk/,craig.taylor@gnrtraining.co.uk,"SCR Growth Hub",
8017,"GNR Training","01302 499939",https://www.gnrtraining.co.uk/,George.tomkins@gnrtraining.co.uk,"SCR Growth Hub",
8018,"Good Move","0800 802 1175",https://goodmove.co.uk/,hello@goodmove.co.uk,"SCR Growth Hub",
8019,GovGrant,"01727 738600",https://www.govgrant.co.uk,enquiries@govgrant.co.uk,"SCR Growth Hub",
